company,drug_name,submission_type,submission_number,submission_status,submission_status_date,submission_class_code
ALEMBIC,DULOXETINE HYDROCHLORIDE,SUPPL,8,AP,20240208,LABELING
ALEMBIC,DULOXETINE HYDROCHLORIDE,SUPPL,23,AP,20240208,LABELING
ALEMBIC,DULOXETINE HYDROCHLORIDE,ORIG,1,AP,20140609,UNKNOWN
ALEMBIC,DULOXETINE HYDROCHLORIDE,SUPPL,4,AP,20240208,LABELING
ALEMBIC,DULOXETINE HYDROCHLORIDE,SUPPL,11,AP,20240208,LABELING
ALEMBIC,DULOXETINE HYDROCHLORIDE,SUPPL,2,AP,20240208,LABELING
ALEMBIC,DULOXETINE HYDROCHLORIDE,SUPPL,9,AP,20240208,LABELING
ALEMBIC,DULOXETINE HYDROCHLORIDE,SUPPL,16,AP,20240208,LABELING
ALEMBIC,DULOXETINE HYDROCHLORIDE,SUPPL,3,AP,20240208,LABELING
P AND L,CHILDREN'S FEXOFENADINE HYDROCHLORIDE ALLERGY,ORIG,1,AP,20141118,UNKNOWN
P AND L,CHILDREN'S FEXOFENADINE HYDROCHLORIDE ALLERGY,SUPPL,5,AP,20200303,LABELING
FRESENIUS KABI,PIPERACILLIN AND TAZOBACTAM,SUPPL,3,AP,20210218,LABELING
FRESENIUS KABI,PIPERACILLIN AND TAZOBACTAM,SUPPL,14,AP,20241203,LABELING
FRESENIUS KABI,PIPERACILLIN AND TAZOBACTAM,ORIG,1,AP,20180518,UNKNOWN
FRESENIUS KABI,PIPERACILLIN AND TAZOBACTAM,SUPPL,12,AP,20240501,LABELING
FRESENIUS KABI,PIPERACILLIN AND TAZOBACTAM,SUPPL,10,AP,20240405,LABELING
FRESENIUS KABI,PIPERACILLIN AND TAZOBACTAM,SUPPL,9,AP,20240405,LABELING
TWI PHARMS,DILTIAZEM HYDROCHLORIDE,ORIG,1,AP,20180830,UNKNOWN
EXELA PHARMA,BLOXIVERZ,SUPPL,6,AP,20141202,MANUF (CMC)
EXELA PHARMA,BLOXIVERZ,SUPPL,4,AP,20141211,LABELING
EXELA PHARMA,BLOXIVERZ,ORIG,1,AP,20130531,TYPE 5
EXELA PHARMA,BLOXIVERZ,SUPPL,14,AP,20231027,MANUF (CMC)
EXELA PHARMA,BLOXIVERZ,SUPPL,10,AP,20210119,LABELING
EXELA PHARMA,BLOXIVERZ,SUPPL,7,AP,20151020,LABELING
EXELA PHARMA,BLOXIVERZ,SUPPL,5,AP,20140930,MANUF (CMC)
EXELA PHARMA,BLOXIVERZ,SUPPL,3,AP,20140922,MANUF (CMC)
EXELA PHARMA,BLOXIVERZ,SUPPL,1,AP,20140618,MANUF (CMC)
XTTRIUM,EXIDINE,ORIG,1,AP,19851217,TYPE 3
XTTRIUM,EXIDINE,SUPPL,2,AP,19880510,MANUF (CMC)
PATRIN,CYPROHEPTADINE HYDROCHLORIDE,ORIG,1,AP,20161227,UNKNOWN
MURO,VOLMAX,SUPPL,1,AP,19940921,MANUF (CMC)
MURO,VOLMAX,ORIG,1,AP,19921223,TYPE 3
MURO,VOLMAX,SUPPL,14,AP,20011128,MANUF (CMC)
MURO,VOLMAX,SUPPL,12,AP,19990903,MANUF (CMC)
MURO,VOLMAX,SUPPL,8,AP,19971008,EFFICACY
MURO,VOLMAX,SUPPL,10,AP,19980727,MANUF (CMC)
MURO,VOLMAX,SUPPL,6,AP,19960325,MANUF (CMC)
MURO,VOLMAX,SUPPL,4,AP,19950706,MANUF (CMC)
MURO,VOLMAX,SUPPL,2,AP,19940725,MANUF (CMC)
MURO,VOLMAX,SUPPL,9,AP,19980507,MANUF (CMC)
MURO,VOLMAX,SUPPL,11,AP,19990903,MANUF (CMC)
MURO,VOLMAX,SUPPL,7,AP,19971120,LABELING
MURO,VOLMAX,SUPPL,5,AP,19950320,MANUF (CMC)
MURO,VOLMAX,SUPPL,3,AP,19941206,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,13,AP,19950504,LABELING
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,1,AP,19910430,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,11,AP,19930323,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,26,AP,20020614,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,8,AP,19911106,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,24,AP,20010530,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,6,AP,19910805,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,16,AP,19951102,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,22,AP,19990507,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,4,AP,19910612,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,2,AP,19910613,LABELING
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,20,AP,19970114,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,12,AP,19931103,LABELING
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,10,AP,19930208,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,9,AP,19920817,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,ORIG,1,AP,19901220,TYPE 1
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,25,AP,20020429,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,7,AP,19911106,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,17,AP,19951127,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,31,AP,20050518,LABELING
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,23,AP,19991214,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,5,AP,19910613,LABELING
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,15,AP,19950404,MANUF (CMC)
SMITHKLINE BEECHAM,DYNACIRC,SUPPL,21,AP,19990428,MANUF (CMC)
ALEMBIC,CLOBETASOL PROPIONATE,ORIG,1,AP,20191002,UNKNOWN
MICRO LABS,LEVOCETIRIZINE DIHYDROCHLORIDE,ORIG,1,AP,20181120,UNKNOWN
MICRO LABS,LEVOCETIRIZINE DIHYDROCHLORIDE,SUPPL,3,AP,20191025,MANUF (CMC)
INTL MEDICATION SYS,EPINEPHRINE,ORIG,1,AP,20200424,UNKNOWN
AMNEAL PHARMS CO,LURASIDONE HYDROCHLORIDE,SUPPL,4,AP,20241203,LABELING
AMNEAL PHARMS CO,LURASIDONE HYDROCHLORIDE,ORIG,1,AP,20190103,UNKNOWN
AMNEAL PHARMS CO,LURASIDONE HYDROCHLORIDE,SUPPL,3,AP,20241203,LABELING
MEDICURE,ZYPITAMAG,ORIG,1,AP,20170714,TYPE 2
MEDICURE,ZYPITAMAG,SUPPL,4,AP,20200925,LABELING
MEDICURE,ZYPITAMAG,SUPPL,5,AP,20240131,LABELING
MEDICURE,ZYPITAMAG,SUPPL,3,AP,20200207,LABELING
RADIUS,TYMLOS,SUPPL,3,AP,20181017,EFFICACY
RADIUS,TYMLOS,SUPPL,1,AP,20180205,LABELING
RADIUS,TYMLOS,SUPPL,10,AP,20211222,EFFICACY
RADIUS,TYMLOS,ORIG,1,AP,20170428,TYPE 1
RADIUS,TYMLOS,SUPPL,17,AP,20250328,LABELING
RADIUS,TYMLOS,SUPPL,4,AP,20180620,LABELING
RADIUS,TYMLOS,SUPPL,15,AP,20231221,LABELING
RADIUS,TYMLOS,SUPPL,13,AP,20221219,EFFICACY
RADIUS,TYMLOS,SUPPL,9,AP,20210920,EFFICACY
RADIUS,TYMLOS,SUPPL,7,AP,20201023,LABELING
CHARTWELL RX,METHYLPREDNISOLONE,ORIG,1,AP,20190222,UNKNOWN
CHARTWELL RX,METHYLPREDNISOLONE,SUPPL,1,AP,20241011,LABELING
ZYDUS PHARMS,SUCCINYLCHOLINE CHLORIDE,ORIG,1,AP,20180504,UNKNOWN
ZYDUS PHARMS,SUCCINYLCHOLINE CHLORIDE,SUPPL,2,AP,20200406,LABELING
ZYDUS PHARMS,SUCCINYLCHOLINE CHLORIDE,SUPPL,7,AP,20220209,LABELING
ZYDUS PHARMS,SUCCINYLCHOLINE CHLORIDE,SUPPL,5,AP,20210304,LABELING
PIRAMAL,CLOBAZAM,SUPPL,2,AP,20230503,LABELING
PIRAMAL,CLOBAZAM,ORIG,1,AP,20181022,UNKNOWN
PIRAMAL,CLOBAZAM,SUPPL,3,AP,20240610,LABELING
PIRAMAL,CLOBAZAM,SUPPL,1,AP,20211025,LABELING
TEVA PHARMS USA INC,APIXABAN,ORIG,1,TA,20200702,UNKNOWN
HETERO LABS LTD III,DIMETHYL FUMARATE,ORIG,1,AP,20200924,UNKNOWN
XIROMED,TESTOSTERONE,ORIG,1,AP,20200416,UNKNOWN
UBI,LEUPROLIDE ACETATE,ORIG,1,AP,20241017,UNKNOWN
COLUMBIA THERAPEUTICS INC,,ORIG,1,TA,20250117,TYPE 5
ENCUBE,CLINDAMYCIN PHOSPHATE AND TRETINOIN,ORIG,1,AP,20230901,UNKNOWN
RICONPHARMA LLC,COLESTIPOL HYDROCHLORIDE,ORIG,1,AP,20241203,UNKNOWN
CHIESI,FERRIPROX,SUPPL,3,AP,20211130,LABELING
CHIESI,FERRIPROX,SUPPL,1,AP,20210430,EFFICACY
CHIESI,FERRIPROX,ORIG,1,AP,20200519,TYPE 5
CHIESI,FERRIPROX,SUPPL,6,AP,20250326,LABELING
SPECGX LLC,VIGABATRIN,ORIG,1,AP,20210728,UNKNOWN
SPECGX LLC,VIGABATRIN,SUPPL,2,AP,20221012,REMS
LANNETT CO INC,CHLORPROMAZINE HYDROCHLORIDE,ORIG,1,AP,20210122,UNKNOWN
AJANTA PHARMA LTD,TOLTERODINE TARTRATE,ORIG,1,AP,20200519,UNKNOWN
PRAXGEN,LEVOLEUCOVORIN CALCIUM,ORIG,1,AP,20211102,UNKNOWN
CHIESI,ZYFLO,SUPPL,11,AP,20050928,MANUF (CMC)
CHIESI,ZYFLO,SUPPL,8,AP,20010423,LABELING
CHIESI,ZYFLO,SUPPL,6,AP,19980924,MANUF (CMC)
CHIESI,ZYFLO,SUPPL,4,AP,19970506,MANUF (CMC)
CHIESI,ZYFLO,SUPPL,14,AP,20090821,LABELING
CHIESI,ZYFLO,ORIG,1,AP,19961209,TYPE 1
CHIESI,ZYFLO,SUPPL,9,AP,20021216,LABELING
CHIESI,ZYFLO,SUPPL,7,AP,19980904,LABELING
CHIESI,ZYFLO,SUPPL,5,AP,19970908,MANUF (CMC)
CHIESI,ZYFLO,SUPPL,3,AP,19970530,MANUF (CMC)
CHIESI,ZYFLO,SUPPL,17,AP,20120608,LABELING
CHIESI,ZYFLO,SUPPL,1,AP,19970521,MANUF (CMC)
ZYDUS LIFESCIENCES,VIGABATRIN,ORIG,1,AP,20230302,UNKNOWN
ZYDUS LIFESCIENCES,VIGABATRIN,SUPPL,1,AP,20240912,REMS
FRESENIUS KABI USA,NAROPIN,SUPPL,26,AP,20141029,MANUF (CMC)
FRESENIUS KABI USA,NAROPIN,SUPPL,1,AP,19980501,MANUF (CMC)
FRESENIUS KABI USA,NAROPIN,SUPPL,32,AP,20160606,MANUF (CMC)
FRESENIUS KABI USA,NAROPIN,SUPPL,24,AP,20130421,MANUF (CMC)
FRESENIUS KABI USA,NAROPIN,SUPPL,30,AP,20130216,MANUF (CMC)
FRESENIUS KABI USA,NAROPIN,SUPPL,14,AP,20060808,LABELING
FRESENIUS KABI USA,NAROPIN,ORIG,1,AP,19960924,TYPE 1
FRESENIUS KABI USA,NAROPIN,SUPPL,20,AP,20100219,LABELING
FRESENIUS KABI USA,NAROPIN,SUPPL,12,AP,20040811,LABELING
FRESENIUS KABI USA,NAROPIN,SUPPL,8,AP,20020717,MANUF (CMC)
FRESENIUS KABI USA,NAROPIN,SUPPL,6,AP,20000209,MANUF (CMC)
FRESENIUS KABI USA,NAROPIN,SUPPL,29,AP,20121109,MANUF (CMC)
FRESENIUS KABI USA,NAROPIN,SUPPL,35,AP,20181102,LABELING
FRESENIUS KABI USA,NAROPIN,SUPPL,27,AP,20121115,MANUF (CMC)
FRESENIUS KABI USA,NAROPIN,SUPPL,2,AP,20001102,EFFICACY
FRESENIUS KABI USA,NAROPIN,SUPPL,21,AP,20100219,LABELING
FRESENIUS KABI USA,NAROPIN,SUPPL,38,AP,20220615,LABELING
FRESENIUS KABI USA,NAROPIN,SUPPL,7,AP,20001114,MANUF (CMC)
FRESENIUS KABI USA,NAROPIN,SUPPL,44,AP,20220628,LABELING
FRESENIUS KABI USA,NAROPIN,SUPPL,5,AP,20000622,LABELING
FRESENIUS KABI USA,NAROPIN,SUPPL,28,AP,20121226,MANUF (CMC)
FRESENIUS KABI USA,NAROPIN,SUPPL,34,AP,20180215,UNKNOWN
QILU PHARM HAINAN,,ORIG,1,TA,20240828,UNKNOWN
CHENGDU SHUODE,NALMEFENE HYDROCHLORIDE,ORIG,1,AP,20231115,UNKNOWN
LEO PHARMA AS,TACLONEX,SUPPL,27,AP,20190725,EFFICACY
LEO PHARMA AS,TACLONEX,SUPPL,19,AP,20151029,MANUF (CMC)
LEO PHARMA AS,TACLONEX,SUPPL,25,AP,20170619,MANUF (CMC)
LEO PHARMA AS,TACLONEX,SUPPL,17,AP,20140226,MANUF (CMC)
LEO PHARMA AS,TACLONEX,SUPPL,23,AP,20160318,MANUF (CMC)
LEO PHARMA AS,TACLONEX,SUPPL,15,AP,20131107,MANUF (CMC)
LEO PHARMA AS,TACLONEX,ORIG,1,AP,20080509,TYPE 3
LEO PHARMA AS,TACLONEX,SUPPL,3,AP,20090320,MANUF (CMC)
LEO PHARMA AS,TACLONEX,SUPPL,18,AP,20140829,EFFICACY
LEO PHARMA AS,TACLONEX,SUPPL,24,AP,20160621,MANUF (CMC)
LEO PHARMA AS,TACLONEX,SUPPL,16,AP,20131107,LABELING
LEO PHARMA AS,TACLONEX,SUPPL,22,AP,20160205,MANUF (CMC)
LEO PHARMA AS,TACLONEX,SUPPL,14,AP,20130628,MANUF (CMC)
LEO PHARMA AS,TACLONEX,SUPPL,20,AP,20140728,LABELING
LEO PHARMA AS,TACLONEX,SUPPL,12,AP,20121130,LABELING
LEO PHARMA AS,TACLONEX,SUPPL,10,AP,20121017,EFFICACY
BAYER HLTHCARE,SAFYRAL,SUPPL,10,AP,20230519,LABELING
BAYER HLTHCARE,SAFYRAL,SUPPL,6,AP,20150601,LABELING
BAYER HLTHCARE,SAFYRAL,SUPPL,4,AP,20120410,LABELING
BAYER HLTHCARE,SAFYRAL,SUPPL,9,AP,20170809,LABELING
BAYER HLTHCARE,SAFYRAL,SUPPL,11,AP,20220429,LABELING
BAYER HLTHCARE,SAFYRAL,SUPPL,1,AP,20120213,EFFICACY
BAYER HLTHCARE,SAFYRAL,ORIG,1,AP,20101216,TYPE 5
STERISCIENCE PTE. LIMITED,SELENIOUS ACID,ORIG,1,TA,20250428,UNKNOWN
APOTEX,,ORIG,1,TA,20240227,UNKNOWN
CELLTRION,ZYMFENTRA,ORIG,1,AP,20231020,TYPE 3
CELLTRION,ZYMFENTRA,SUPPL,1,AP,20240222,MANUF (CMC)
HALEON US HOLDINGS,ADVIL ALLERGY SINUS,SUPPL,11,AP,20100831,LABELING
HALEON US HOLDINGS,ADVIL ALLERGY SINUS,SUPPL,8,AP,20080623,LABELING
HALEON US HOLDINGS,ADVIL ALLERGY SINUS,ORIG,1,AP,20021219,TYPE 4
HALEON US HOLDINGS,ADVIL ALLERGY SINUS,SUPPL,16,AP,20211123,LABELING
HALEON US HOLDINGS,ADVIL ALLERGY SINUS,SUPPL,12,AP,20170324,LABELING
HALEON US HOLDINGS,ADVIL ALLERGY SINUS,SUPPL,9,AP,20090519,LABELING
HALEON US HOLDINGS,ADVIL ALLERGY SINUS,SUPPL,5,AP,20060227,LABELING
HALEON US HOLDINGS,ADVIL ALLERGY SINUS,SUPPL,1,AP,20040709,LABELING
TEVA PHARMS,VANDAZOLE,SUPPL,8,AP,20210211,LABELING
TEVA PHARMS,VANDAZOLE,ORIG,1,AP,20050520,TYPE 5
TEVA PHARMS,VANDAZOLE,SUPPL,4,AP,20140129,MANUF (CMC)
TEVA PHARMS,VANDAZOLE,SUPPL,3,AP,20110203,LABELING
TEVA PHARMS,VANDAZOLE,SUPPL,1,AP,20060907,MANUF (CMC)
HOSPIRA,MEPERIDINE HYDROCHLORIDE PRESERVATIVE FREE,ORIG,1,AP,19990310,
HOSPIRA,MEPERIDINE HYDROCHLORIDE PRESERVATIVE FREE,SUPPL,3,AP,20020606,MANUF (CMC)
HOSPIRA,MEPERIDINE HYDROCHLORIDE PRESERVATIVE FREE,SUPPL,1,AP,20001107,MANUF (CMC)
OXFORD PHARMS,PRIMIDONE,SUPPL,1,AP,20060206,LABELING
OXFORD PHARMS,PRIMIDONE,SUPPL,6,AP,20110329,LABELING
OXFORD PHARMS,PRIMIDONE,SUPPL,4,AP,20100520,LABELING
OXFORD PHARMS,PRIMIDONE,ORIG,1,AP,20050224,
OXFORD PHARMS,PRIMIDONE,SUPPL,9,AP,20120625,LABELING
UNICHEM,HYDROCHLOROTHIAZIDE,ORIG,1,AP,20080815,
UNICHEM,HYDROCHLOROTHIAZIDE,SUPPL,18,AP,20200820,LABELING
UNICHEM,HYDROCHLOROTHIAZIDE,SUPPL,4,AP,20111114,LABELING
UNICHEM,HYDROCHLOROTHIAZIDE,SUPPL,9,AP,20160307,MANUF (CMC)
ACCORD HLTHCARE,METHYLDOPA,SUPPL,9,AP,19871013,MANUF (CMC)
ACCORD HLTHCARE,METHYLDOPA,SUPPL,19,AP,19910320,LABELING
ACCORD HLTHCARE,METHYLDOPA,SUPPL,3,AP,19870109,MANUF (CMC)
ACCORD HLTHCARE,METHYLDOPA,SUPPL,17,AP,19910327,MANUF (CMC)
ACCORD HLTHCARE,METHYLDOPA,SUPPL,23,AP,19990910,LABELING
ACCORD HLTHCARE,METHYLDOPA,SUPPL,15,AP,19901212,LABELING
ACCORD HLTHCARE,METHYLDOPA,SUPPL,21,AP,19970218,LABELING
ACCORD HLTHCARE,METHYLDOPA,SUPPL,13,AP,19900328,MANUF (CMC)
ACCORD HLTHCARE,METHYLDOPA,SUPPL,11,AP,19880802,LABELING
ACCORD HLTHCARE,METHYLDOPA,SUPPL,8,AP,19871013,MANUF (CMC)
ACCORD HLTHCARE,METHYLDOPA,SUPPL,4,AP,19870109,MANUF (CMC)
ACCORD HLTHCARE,METHYLDOPA,SUPPL,18,AP,19910327,MANUF (CMC)
ACCORD HLTHCARE,METHYLDOPA,SUPPL,2,AP,19870109,MANUF (CMC)
ACCORD HLTHCARE,METHYLDOPA,SUPPL,24,AP,20110921,LABELING
ACCORD HLTHCARE,METHYLDOPA,SUPPL,16,AP,19910327,MANUF (CMC)
ACCORD HLTHCARE,METHYLDOPA,SUPPL,22,AP,19980611,LABELING
ACCORD HLTHCARE,METHYLDOPA,SUPPL,20,AP,19930430,LABELING
ACCORD HLTHCARE,METHYLDOPA,SUPPL,10,AP,19880907,LABELING
ACCORD HLTHCARE,METHYLDOPA,ORIG,1,AP,19851015,
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,3,AP,19960503,MANUF (CMC)
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,18,AP,20110328,MANUF (CMC)
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,24,AP,20131023,MANUF (CMC)
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,16,AP,20030508,LABELING
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,30,AP,20200828,LABELING
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,22,AP,20131031,LABELING
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,14,AP,20030508,EFFICACY
PFIZER,DOXORUBICIN HYDROCHLORIDE,ORIG,1,AP,19871223,TYPE 3
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,12,AP,20020402,MANUF (CMC)
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,10,AP,20020925,LABELING
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,8,AP,20000810,MANUF (CMC)
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,6,AP,19980213,LABELING
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,29,AP,20190809,LABELING
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,4,AP,19970905,MANUF (CMC)
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,19,AP,20110926,LABELING
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,2,AP,19941129,LABELING
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,33,AP,20240509,MANUF (CMC)
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,25,AP,20141205,MANUF (CMC)
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,17,AP,20100730,LABELING
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,23,AP,20131010,MANUF (CMC)
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,13,AP,20020925,LABELING
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,11,AP,20020110,MANUF (CMC)
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,9,AP,20000810,MANUF (CMC)
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,7,AP,19990304,LABELING
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,5,AP,19970915,MANUF (CMC)
PFIZER,DOXORUBICIN HYDROCHLORIDE,SUPPL,28,AP,20191220,LABELING
BAXTER HLTHCARE,ANCEF IN PLASTIC CONTAINER,SUPPL,15,AP,20160229,LABELING
BAXTER HLTHCARE,ANCEF IN PLASTIC CONTAINER,SUPPL,7,AP,20080430,LABELING
BAXTER HLTHCARE,ANCEF IN PLASTIC CONTAINER,SUPPL,3,AP,20010306,MANUF (CMC)
BAXTER HLTHCARE,ANCEF IN PLASTIC CONTAINER,SUPPL,1,AP,19921221,MANUF (CMC)
BAXTER HLTHCARE,ANCEF IN PLASTIC CONTAINER,ORIG,1,AP,19910328,
BAXTER HLTHCARE,ANCEF IN PLASTIC CONTAINER,SUPPL,10,AP,20130322,LABELING
BAXTER HLTHCARE,ANCEF IN PLASTIC CONTAINER,SUPPL,6,AP,20041007,LABELING
BAXTER HLTHCARE,ANCEF IN PLASTIC CONTAINER,SUPPL,2,AP,19940727,MANUF (CMC)
MEITHEAL,DAUNORUBICIN HYDROCHLORIDE,ORIG,1,AP,20000124,
MEITHEAL,DAUNORUBICIN HYDROCHLORIDE,SUPPL,1,AP,20010426,MANUF (CMC)
AUROBINDO PHARMA,CEFUROXIME AXETIL,SUPPL,16,AP,20191219,LABELING
AUROBINDO PHARMA,CEFUROXIME AXETIL,ORIG,1,AP,20060329,
AUROBINDO PHARMA,CEFUROXIME AXETIL,SUPPL,20,AP,20210922,LABELING
AUROBINDO PHARMA,CEFUROXIME AXETIL,SUPPL,10,AP,20160110,LABELING
AUROBINDO PHARMA,CEFUROXIME AXETIL,SUPPL,8,AP,20160110,LABELING
AUROBINDO PHARMA,CEFUROXIME AXETIL,SUPPL,15,AP,20191219,LABELING
AUROBINDO PHARMA,CEFUROXIME AXETIL,SUPPL,13,AP,20191219,LABELING
AUROBINDO PHARMA,CEFUROXIME AXETIL,SUPPL,11,AP,20170718,LABELING
AUROBINDO PHARMA,CEFUROXIME AXETIL,SUPPL,9,AP,20160110,LABELING
AUROBINDO PHARMA,CEFUROXIME AXETIL,SUPPL,1,AP,20071221,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,25,AP,19780130,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,17,AP,19760621,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,31,AP,19810427,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,23,AP,19780728,EFFICACY
GE HEALTHCARE,HYPAQUE,SUPPL,68,AP,19950615,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,21,AP,19760602,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,66,AP,19911003,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,58,AP,19890418,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,11,AP,19750529,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,64,AP,19911003,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,56,AP,19890622,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,70,AP,20010813,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,48,AP,19850419,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,62,AP,19891026,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,54,AP,19880222,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,46,AP,19880523,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,60,AP,19890526,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,38,AP,19840312,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,52,AP,19860210,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,44,AP,19850114,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,36,AP,19820224,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,50,AP,19850416,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,28,AP,19790215,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,42,AP,19840312,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,34,AP,19820118,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,26,AP,19780130,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,40,AP,19830228,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,18,AP,19760625,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,32,AP,19810411,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,24,AP,19780130,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,30,AP,19790417,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,69,AP,19980820,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,22,AP,19770401,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,67,AP,19940325,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,20,AP,19760602,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,59,AP,19890519,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,12,AP,19750822,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,65,AP,19911003,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,57,AP,19890622,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,71,AP,20020930,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,10,AP,19750529,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,49,AP,19850423,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,63,AP,19910424,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,ORIG,1,AP,19690821,TYPE 3
GE HEALTHCARE,HYPAQUE,SUPPL,55,AP,19890411,MANUF (CMC)
GE HEALTHCARE,HYPAQUE,SUPPL,47,AP,19841126,LABELING
GE HEALTHCARE,HYPAQUE,SUPPL,61,AP,19890628,LABELING
